date,three_made,home,minutes
2010-10-26,3,0,42
2010-10-27,0,0,37
2010-10-29,2,1,30
2010-10-31,0,0,28
2010-11-02,0,1,32
2010-11-05,1,0,41
2010-11-06,2,1,33
2010-11-09,0,1,46
2010-11-11,0,1,44
2010-11-13,0,1,39
2010-11-17,0,1,23
2010-11-19,2,1,39
2010-11-20,2,0,42
2010-11-22,2,1,41
2010-11-24,1,0,40
2010-11-26,1,1,40
2010-11-27,0,0,36
2010-11-29,1,1,38
2010-12-01,1,1,31
2010-12-02,2,0,30
2010-12-04,1,1,37
2010-12-06,1,0,38
2010-12-08,3,0,39
2010-12-10,3,0,30
2010-12-11,2,0,35
2010-12-13,0,1,40
2010-12-15,0,1,38
2010-12-17,3,0,38
2010-12-18,3,0,40
2010-12-20,2,1,36
2010-12-23,2,0,37
2010-12-25,5,0,38
2010-12-28,1,1,40
2010-12-29,0,0,39
2011-01-01,0,1,41
2011-01-03,2,0,36
2011-01-04,0,1,36
2011-01-07,1,0,45
2011-01-09,3,0,46
2011-01-12,3,0,39
2011-01-18,2,1,44
2011-01-22,1,1,38
2011-01-27,0,0,42
2011-01-28,2,1,44
2011-01-30,2,0,40
2011-01-31,0,1,31
2011-02-03,3,0,42
2011-02-04,0,0,36
2011-02-06,0,1,35
2011-02-08,2,1,41
2011-02-11,0,0,34
2011-02-13,0,0,43
2011-02-15,1,0,40
2011-02-16,0,0,37
2011-02-22,3,1,30
2011-02-24,0,0,41
2011-02-25,0,1,42
2011-02-27,1,1,39
2011-03-03,0,1,39
2011-03-04,1,0,36
2011-03-06,1,1,41
2011-03-08,2,1,45
2011-03-10,0,1,42
2011-03-12,2,1,31
2011-03-14,0,1,41
2011-03-16,0,1,39
2011-03-18,5,0,30
2011-03-19,1,1,40
2011-03-23,0,0,42
2011-03-25,1,1,41
2011-03-27,0,1,40
2011-03-29,1,0,43
2011-03-30,1,0,43
2011-04-01,0,0,42
2011-04-03,0,0,38
2011-04-06,3,1,39
2011-04-08,0,1,37
2011-04-10,0,1,37
2011-04-11,2,0,42
